date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:01:47	1426/1426	---M--	200	added ('OK')	image/png	etag:%22592-5e8aff206b540%22	https://themesflat.co/html/cyfoniihtml/assets/images/icon/quote.png	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/assets/images/icon/quote.png	(from https://themesflat.co/html/cyfoniihtml/)
04:01:47	101715/101715	---M--	200	added ('OK')	image/png	etag:%2218d53-5e9bef04a1c00%22	https://themesflat.co/html/cyfoniihtml/assets/images/layouts/avt-02.png	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/assets/images/layouts/avt-02.png	(from https://themesflat.co/html/cyfoniihtml/)
04:01:47	149519/149519	---M--	200	added ('OK')	image/png	etag:%222480f-5e9bef0595e40%22	https://themesflat.co/html/cyfoniihtml/assets/images/layouts/avt-03.png	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/assets/images/layouts/avt-03.png	(from https://themesflat.co/html/cyfoniihtml/)
04:01:47	437588/437588	---M--	200	added ('OK')	image/png	etag:%226ad54-5e9bef068a080%22	https://themesflat.co/html/cyfoniihtml/assets/images/layouts/avt-04.png	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/assets/images/layouts/avt-04.png	(from https://themesflat.co/html/cyfoniihtml/)
04:01:48	28874/28874	---M--	200	added ('OK')	image/png	etag:%2270ca-5e9bef7ae3300%22	https://themesflat.co/html/cyfoniihtml/assets/images/layouts/create.png	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/assets/images/layouts/create.png	(from https://themesflat.co/html/cyfoniihtml/)
04:01:48	89503/89503	---M-Z	200	added ('OK')	application/javascript	etag:%2215d9f-5d823a5d1d340-gzip%22	https://themesflat.co/html/cyfoniihtml/app/js/jquery.min.js	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/app/js/jquery.min.js	(from https://themesflat.co/html/cyfoniihtml/)
04:01:48	4863/4863	---M-Z	200	added ('OK')	application/javascript	etag:%2212ff-5d4f84e86fa80-gzip%22	https://themesflat.co/html/cyfoniihtml/app/js/jquery.easing.js	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/app/js/jquery.easing.js	(from https://themesflat.co/html/cyfoniihtml/)
04:01:48	11224/11224	---M-Z	200	added ('OK')	application/javascript	etag:%222bd8-5c168880f0ac0-gzip%22	https://themesflat.co/html/cyfoniihtml/app/js/jquery-migrate.min.js	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/app/js/jquery-migrate.min.js	(from https://themesflat.co/html/cyfoniihtml/)
04:01:49	615148/615148	---MCZ	200	added ('OK')	application/javascript	etag:%22962ec-5eabcd5f66800-gzip%22	https://themesflat.co/html/cyfoniihtml/app/js/plugins.js	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/app/js/plugins.js	(from https://themesflat.co/html/cyfoniihtml/)
04:01:49	2581/2581	---M-Z	200	added ('OK')	application/javascript	etag:%22a15-5e7f9a6087b80-gzip%22	https://themesflat.co/html/cyfoniihtml/app/js/countto.js	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/app/js/countto.js	(from https://themesflat.co/html/cyfoniihtml/)
